Harding Ice Field Trail	Kenai Fjords National Park	Alaska	15610.598	5	out and back	 forest	 river	 views
Mount Healy Overlook Trail	Denali National Park	Alaska	6920.162	3	out and back	 forest	 views	 wild-flowers
Exit Glacier Trail	Kenai Fjords National Park	Alaska	2896.812	1	out and back	 partially-paved	 views	 wildlife
Horseshoe Lake Trail	Denali National Park	Alaska	3379.614	1	loop	 forest	 lake	 kid-friendly
Triple Lakes Trail	Denali National Park	Alaska	29772.79	5	out and back	 lake	 views	 wild-flowers
Bison Gulch	Denali National Park	Alaska	11265.38	5	out and back	 forest	 views	 wildlife
Rock Creek Trail	Denali National Park	Alaska	7081.096	3	out and back	 forest	 views	 wild-flowers
Taiga Trail	Denali National Park	Alaska	2574.944	3	loop	 forest	 views	 wild-flowers
McKinley Station Trail	Denali National Park	Alaska	4667.086	1	loop	 forest	 kid-friendly	 views
Mount Thorofare Ridge Loop	Denali National Park	Alaska	6598.294	5	loop	 views	 wild-flowers	 wildlife
McKinley Bar Trail	Denali National Park	Alaska	7402.964	1	out and back	 lake	 kid-friendly	 river
Tiaga Loop and Horseshoe Lake Trail to Beaver Dam	Denali National Park	Alaska	4828.02	3	loop	 forest	 lake	 views
Blueberry Hill Trail	Denali National Park	Alaska	1448.406	3	out and back	 lake	 views	 wildlife
Stampede Trail to Sushana River	Denali National Park	Alaska	61476.788	5	out and back	 river	 wild-flowers	 wildlife
Bartlett Cove Forest Loop Trail	Glacier Bay National Park	Alaska	1770.274	1	loop	 kid-friendly	 views	 wild-flowers
Camp Ridge Trail	Denali National Park	Alaska	6759.228	5	out and back	 forest	 views	 wildlife
Jonesville Trail	Denali National Park	Alaska	1448.406	1	out and back	 forest	 kid-friendly	 views
Roadside Trail	Denali National Park	Alaska	5471.756	1	out and back	 kid-friendly	 wildlife	
Quigley Ridge Trail	Denali National Park	Alaska	14644.994	3	out and back	 views		
Bison Gulch to Denali Visitors Center	Denali National Park	Alaska	15771.532	5	point to point	 views		
Brooks Falls	Katmai National Park	Alaska	4667.086	1	out and back	 river	 views	 waterfall
Bartlett River Trail	Glacier Bay National Park	Alaska	11104.446	1	out and back	 forest	 lake	 river
McKinley Station and Morino Loop Trail	Denali National Park	Alaska	1448.406	3	loop	 views	 wild-flowers	
Dumpling Mountain	Katmai National Park	Alaska	4828.02	3	out and back	 views	 wild-flowers	 wildlife
Spruce Tree Trail	Denali National Park	Alaska	643.736	1	loop	 views	 wildlife	
Bartlet Lake Trail	Glacier Bay National Park	Alaska	9495.106	1	out and back	 forest	 lake	
Eldorado Creek Trail	Denali National Park	Alaska	13679.39	3	out and back			
Tlingit Trail	Glacier Bay National Park	Alaska	1770.274	1	out and back	 beach	 forest	 lake
Point Gustavus	Glacier Bay National Park	Alaska	20116.75	3	out and back	 dogs-no		
Bright Angel Trail to Bright Angel Campground and River Trail	Grand Canyon National Park	Arizona	28485.318	5	out and back	 river	 views	 wild-flowers
South Kaibab Trail to Cedar Ridge	Grand Canyon National Park	Arizona	4988.954	3	out and back	 dogs-no	 forest	 partially-paved
Three-Mile Resthouse via Bright Angel Trail	Grand Canyon National Park	Arizona	8690.436	5	out and back	 river	 views	 wild-flowers
South Kaibab and  Phantom Ranch and  and Bright Angel Trail Loop 	Grand Canyon National Park	Arizona	26875.978	5	point to point	 river	 views	 waterfall
South Kaibab Trail to Ooh Aah Point	Grand Canyon National Park	Arizona	2896.812	3	out and back	 views	 wildlife	
Grand Canyon Rim Trail	Grand Canyon National Park	Arizona	8690.436	1	out and back	 dogs-leash	 kid-friendly	 paved
Rim-to-Rim: North Kaibab to Grand Canyon Village	Grand Canyon National Park	Arizona	34761.744	5	point to point	 river	 views	 waterfall
Shoshone Point Trail	Grand Canyon National Park	Arizona	3379.614	1	out and back	 dogs-no	 kid-friendly	 strollers
Plateau Point Trail via Bright Angel Trail	Grand Canyon National Park	Arizona	19633.948	5	out and back	 river	 views	 wild-flowers
South Kaibab Trail to Skeleton Point	Grand Canyon National Park	Arizona	8690.436	5	out and back	 views	 wild-flowers	
Grand Canyon West Rim Trail	Grand Canyon National Park	Arizona	20599.552	1	point to point	 dogs-no	 kid-friendly	 paved
Bridal Wreath Falls Trail	Saguaro National Park	Arizona	9012.304	3	out and back	 kid-friendly	 views	 waterfall
1.5 Mile Resthouse via Bright Angel Trail	Grand Canyon National Park	Arizona	4667.086	3	out and back	 views	 wild-flowers	 wildlife
Bright Angel Point Trail	Grand Canyon National Park	Arizona	1448.406	1	out and back	 kid-friendly	 partially-paved	 views
Wasson Peak Trail	Saguaro National Park	Arizona	12713.786	3	loop	 dogs-no	 views	 wild-flowers
Indian Garden via Bright Angel Trail	Grand Canyon National Park	Arizona	13196.588	5	out and back	 river	 views	
Blue Mesa Trail	Petrified Forest National Park	Arizona	1448.406	1	loop	 kid-friendly	 partially-paved	 views
King Canyon Trail to Wasson Peak	Saguaro National Park	Arizona	11426.314	3	out and back	 views	 wild-flowers	 wildlife
Grandview Trail Loop	Grand Canyon National Park	Arizona	18668.344	7	loop	 river	 views	 wild-flowers
Hermit Trail	Grand Canyon National Park	Arizona	24783.836	5	out and back	 river	 views	 wild-flowers
Grandview Point to Horseshoe Mesa Trail	Grand Canyon National Park	Arizona	8851.37	3	out and back	 views	 wild-flowers	 wildlife
North Kaibab Trail to Roaring Springs	Grand Canyon National Park	Arizona	13518.456	5	out and back	 forest	 views	 wild-flowers
Wasson Peak via Sweetwater Trail	Saguaro National Park	Arizona	14966.862	5	out and back	 dogs-no	 views	 wild-flowers
Douglas Spring Trail	Saguaro National Park	Arizona	26715.044	3	out and back	 views	 waterfall	 wild-flowers
South Kaibab Trail to Phantom Ranch	Grand Canyon National Park	Arizona	21565.156	5	out and back	 views	 wildlife	
Widforss Trail	Grand Canyon National Park	Arizona	14644.994	3	out and back	 forest	 views	
Transept Trail	Grand Canyon National Park	Arizona	4667.086	3	out and back	 forest	 kid-friendly	 views
Yavapai Point via Rim Trail	Grand Canyon National Park	Arizona	2574.944	1	out and back	 kid-friendly	 views	
Bright Angel Trail: South Rim to Phantom Ranch	Grand Canyon National Park	Arizona	28968.12	5	out and back	 river	 views	 wild-flowers
Cape Royal Trail	Grand Canyon National Park	Arizona	1609.34	1	out and back	 dogs-no	 forest	 kid-friendly
Rim-to-Rim: North Kaibab to South Kaibab Trailhead	Grand Canyon National Park	Arizona	31060.262	7	point to point	 river	 views	 waterfall
Tanque Verde Ridge Trail	Saguaro National Park	Arizona	32186.8	7	out and back	 views	 wild-flowers	 wildlife
Rim to Rim Trail Segment: Indian Garden to Colorado River	Grand Canyon National Park	Arizona	9656.04	7	out and back	 views	 waterfall	
North Kaibab Trail to Colorado River	Grand Canyon National Park	Arizona	45061.52	7	out and back	 cave	 dogs-no	 forest
Cape Final	Grand Canyon National Park	Arizona	6437.36	1	out and back	 forest	 kid-friendly	 views
Mica View Loop Trail	Saguaro National Park	Arizona	5954.558	1	loop	 forest	 kid-friendly	 views
Phantom Ranch to Ribbon Falls via North Kaibab Trail	Grand Canyon National Park	Arizona	19151.146	5	out and back	 river	 views	 waterfall
Hugh Norris Trail	Saguaro National Park	Arizona	14323.126	3	out and back	 views		
North Kaibab Trail to Supai Tunnel and Coconino Overlook	Grand Canyon National Park	Arizona	5954.558	3	out and back	 forest	 kid-friendly	 views
Crystal Forest Trail	Petrified Forest National Park	Arizona	1448.406	1	loop	 kid-friendly	 paved	 views
